Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
IFX.DE,"PEAD-Short [+1,+5]",24.84,-8.94,60.0,20,3.9,3.27,-0.8,3.45,8.62,4.39
IFX.DE,"PEAD-Long [+1,+20]",93.78,-24.94,60.0,20,0.89,-16.58,5.78,27.93,9.9,54.82
IFX.DE,"Full [-5,+5]",136.31,-13.43,70.0,20,15.5,27.48,5.86,6.03,30.15,9.87
MBG.DE,Buy & Hold,10.61,-34.4,—,0,13.31,-1.84,10.02,-7.29,21.32,-19.63
MBG.DE,"Pre-Drift [-5,-1]",-1.08,-10.63,52.6,19,2.12,-7.45,-3.44,3.81,9.48,-4.62
MBG.DE,"Announcement [-1,+1]",2.36,-19.44,50.0,20,5.67,9.21,-1.38,-3.4,-7.41,0.56
MBG.DE,"PEAD-Short [+1,+5]",-9.75,-20.4,65.0,20,4.48,-13.57,-1.53,-3.53,1.67,3.47
MBG.DE,"PEAD-Long [+1,+20]",-3.95,-19.35,55.0,20,-3.82,-5.4,-3.57,-7.04,15.53,1.93
MBG.DE,"Full [-5,+5]",-13.54,-23.29,42.1,19,6.67,-12.64,-6.23,-3.27,3.07,-0.76
MRK.DE,Buy & Hold,-11.76,-52.55,—,0,32.94,-19.46,-19.25,-1.49,-10.75,16.07
MRK.DE,"Pre-Drift [-5,-1]",7.29,-7.33,52.6,19,-1.66,2.93,-4.36,8.84,3.97,-2.07
MRK.DE,"Announcement [-1,+1]",-2.19,-17.37,63.2,19,6.22,-1.5,5.49,4.09,-4.88,-10.48
MRK.DE,"PEAD-Short [+1,+5]",4.65,-12.68,47.4,19,6.7,8.47,1.32,-6.03,-4.42,-0.64
MRK.DE,"PEAD-Long [+1,+20]",16.44,-17.57,57.9,19,16.24,7.55,-1.79,2.05,-6.77,-0.32
MRK.DE,"Full [-5,+5]",9.83,-23.95,63.2,19,11.45,9.98,2.22,6.47,-5.48,-12.89
MTX.DE,Buy & Hold,80.11,-33.13,—,0,-12.57,13.97,-2.07,66.37,11.09,-0.13
MTX.DE,"Pre-Drift [-5,-1]",15.59,-10.15,60.0,20,5.31,-0.72,1.9,3.53,7.87,-2.85
MTX.DE,"Announcement [-1,+1]",-16.29,-26.9,45.0,20,1.31,11.22,-4.36,-3.66,-13.98,-6.27
MTX.DE,"PEAD-Short [+1,+5]",22.34,-18.55,65.0,20,6.65,-2.4,-9.38,8.52,14.41,4.47
MTX.DE,"PEAD-Long [+1,+20]",-8.25,-31.98,55.0,20,-18.28,3.14,-20.06,21.45,22.09,-8.16
